Michael Berks,02:34:03
Ben Walmsley,02:34:41
Ryan Teare,02:39:45
Adam Gooch,02:40:17
Michael Whitham,02:49:21
Jack Burbidge,02:53:34
Nick Cuff,02:54:01
Rich Evans,02:54:40
Jo Rosenberg,02:56:21
Timothy Hayle,03:00:31
Matt Perkins,03:02:15
Shaun Gilmour,03:04:20
Steven Renny,03:07:43
Dan Martell,03:13:30
Charlie Halkyard,03:14:08
Mark Joyce,03:19:32
Al de Sousa Costain,03:24:49
Paul Sadler-Bentley,03:30:28
Peter Waterson,03:30:41
Sabina Pampols Maso,03:41:49
Duncan Dickinson,03:45:33
David Entwistle,03:49:08
Philippa Entwistle,03:53:20
Jayne Holme,03:57:13
Katie Livermore,04:00:54
John Roche,04:02:48
Nadia Erdenesuren,04:10:49
Gregory Nicouleau,04:16:18
Dylan Marodeen,04:17:51
Chris Burrows,05:27:27
