EPRC 5K
Position,Finish time,Number,First name,Last name,Chip time,Chip position,Club,Club Position,Gender,Gender position,Category,Category position
1,00:14:40,358,Connor,Rogers,00:14:39,1,Wrexham AAC,1,Male,1,Senior (20-34),1
2,00:14:48,116,Joshua,Griffiths,00:14:47,2,Swansea Harriers,1,Male,2,Senior (20-34),2
3,00:14:55,111,Conor,Sarsfield,00:14:55,3,Helsby Running Club,1,Male,3,Senior (20-34),3
4,00:15:06,321,Tom,Charles,00:15:05,4,Chorlton Runners,1,Male,4,Vet 40,1
5,00:15:12,234,Ryan,Davis,00:15:11,5,Wrexham AAC,2,Male,5,Vet 35,1
6,00:15:18,219,Joseph,Boden,00:15:18,6,,6,Male,6,Senior (20-34),4
7,00:15:25,363,Jamie,Lambie,00:15:24,7,Shrewsbury AC,1,Male,7,Senior (20-34),5
8,00:15:31,290,Oliver,Blake,00:15:31,8,Oswestry Olympians,1,Male,8,Vet 35,2
9,00:15:33,403,Aaron,Doyle,00:15:32,9,Vale Royal AC,1,Male,9,Senior (20-34),6
10,00:15:35,208,Daniel,Sutton,00:15:32,10,,10,Male,10,Senior (20-34),7
11,00:15:35,301,Alex,Macilwee,00:15:34,11,Liverpool Running Club,1,Male,11,Senior (20-34),8
12,00:15:36,124,Ben,McIntosh,00:15:35,12,Vale Royal AC,2,Male,12,Senior (20-34),9
13,00:15:39,139,Lewis,Morris,00:15:39,13,West Cheshire Athletic Club,1,Male,13,Under 20,1
14,00:15:43,247,Jack,Heap,00:15:41,14,Wirral AC,1,Male,14,Under 20,2
15,00:15:45,297,Ben,Taylor,00:15:43,15,Pensby Runners,1,Male,15,Vet 35,3
16,00:15:54,172,Luke,Hornby,00:15:53,16,Altrincham & District Athletic Club Limited,1,Male,16,Senior (20-34),10
17,00:15:57,126,James,Roberts,00:15:56,17,Wrexham AAC,3,Male,17,Senior (20-34),11
18,00:15:59,132,Louis,Hatton,00:15:59,19,Wirral AC,2,Male,18,Under 20,3
19,00:15:59,236,Benjamin,Barnes,00:15:58,18,Wigan & District H & AC,1,Male,19,Senior (20-34),12
20,00:16:10,262,Mark,Gittins,00:16:09,20,Helsby Running Club,2,Male,20,Vet 45,1
21,00:16:12,411,Chris,Myles,00:16:10,21,Buckley RC,1,Male,21,Senior (20-34),13
22,00:16:14,201,Elliot,Cox,00:16:13,22,Buckley RC,2,Male,22,Senior (20-34),14
23,00:16:14,261,Grant,Davies,00:16:14,23,,23,Male,23,Vet 35,4
24,00:16:16,324,Bradley,Roberts,00:16:15,24,Liverpool Running Bugs,1,Male,24,Senior (20-34),15
25,00:16:18,209,Harry,Hind,00:16:16,25,Stockport Harriers & AC,1,Male,25,Senior (20-34),16
26,00:16:20,381,Maximilian,Kidd-Rossiter,00:16:18,26,Sale Harriers Manchester,1,Male,26,Senior (20-34),17
27,00:16:21,109,Jonathan,Girvan,00:16:21,27,Chester Triathlon Club,1,Male,27,Vet 35,5
28,00:16:22,162,Rob,Grantham,00:16:21,28,Wirral AC,3,Male,28,Vet 50,1
29,00:16:22,114,James,Scott-Buccleuch,00:16:21,30,Stockport Harriers & AC,2,Male,29,Vet 45,2
30,00:16:23,282,George,Ingram,00:16:21,29,Southport Waterloo AC,1,Male,30,Senior (20-34),18
31,00:16:26,364,Ben,Walmsley,00:16:24,31,Altrincham & District Athletic Club Limited,2,Male,31,Vet 40,2
32,00:16:28,390,Sean,Truett,00:16:26,32,Buckley RC,3,Male,32,Senior (20-34),19
33,00:16:30,370,Connor,Walsh,00:16:27,33,Oldham & Royton H & AC,1,Male,33,Senior (20-34),20
34,00:16:30,204,David,Brilley,00:16:28,34,Buckley RC,4,Male,34,Vet 35,6
35,00:16:34,184,Rob,Kerr,00:16:32,36,Shrewsbury AC,2,Male,35,Vet 45,3
36,00:16:35,223,James,Mackie,00:16:32,35,Wirral AC,4,Male,36,Vet 50,2
37,00:16:37,140,Louis,Gorman,00:16:33,37,Wallasey Athletic Club,1,Male,37,Senior (20-34),21
38,00:16:38,108,Mark,Wynne,00:16:34,38,Southport Waterloo AC,2,Male,38,Vet 50,3
39,00:16:43,248,Ali,Hunter,00:16:38,39,Whitchurch Whippets,1,Male,39,Vet 40,3
40,00:16:44,436,Nathan,Woods,00:16:42,41,Helsby Running Club,3,Male,40,Vet 40,4
41,00:16:44,419,Anthony,Lynch,00:16:42,42,Chorlton Runners,2,Male,41,Vet 40,5
42,00:16:44,396,Nathan,James,00:16:41,40,Chester Road Runners,1,Male,42,Senior (20-34),22
43,00:16:47,366,Dave Bus,Hughes,00:16:47,45,,43,Male,43,Vet 35,7
44,00:16:47,442,Scott,Wells,00:16:45,43,West Cheshire Athletic Club,2,Male,44,Under 20,4
45,00:16:49,160,Billy,McCartney,00:16:47,46,Salford Harriers & AC,1,Male,45,Vet 45,4
45,00:16:49,244,Jonah,Armstrong,00:16:46,44,Prestatyn RC,1,Male,45,Senior (20-34),23
47,00:16:53,220,Joshua,Hatton,00:16:52,49,Wirral AC,5,Male,47,Under 20,5
48,00:16:55,374,Aaron,Biggs,00:16:51,48,Wirral AC,6,Male,48,Vet 35,8
48,00:16:55,391,Will,Kozer,00:16:53,50,Widnes Running Club,1,Male,48,Vet 40,6
50,00:16:57,471,Luke,Moulton,00:16:48,47,Altrincham & District Athletic Club Limited,3,Male,50,Vet 35,9
51,00:16:58,435,Michael,Fryer,00:16:56,51,Helsby Running Club,4,Male,51,Senior (20-34),24
52,00:17:01,233,Tom,Carter,00:16:59,54,Prestatyn RC,2,Male,52,Vet 40,7
53,00:17:03,198,Oscar,Simmons,00:16:58,52,Oswestry Olympians,2,Male,53,Senior (20-34),25
54,00:17:03,104,Andrew,Bromley,00:17:02,56,Helsby Running Club,5,Male,54,Vet 35,10
55,00:17:04,115,Anthony,Davidson,00:17:01,55,Buckley RC,5,Male,55,Vet 35,11
56,00:17:04,440,Tom,Brown,00:16:59,53,Altrincham & District Athletic Club Limited,4,Male,56,Senior (20-34),26
57,00:17:06,175,George,George Gillies,00:17:04,58,Wallasey Athletic Club,2,Male,57,Senior (20-34),27
58,00:17:06,191,Steven,Thompson,00:17:05,59,Run Sandymoor,1,Male,58,Vet 40,8
59,00:17:07,167,David,Jones,00:17:03,57,,59,Male,59,Senior (20-34),28
60,00:17:11,313,Kirsty,Longley,00:17:11,61,Liverpool Pembroke & Sefton H AC,1,Female,1,Vet 45,1
61,00:17:11,133,James,Garner,00:17:08,60,Stockport Tri Club,1,Male,60,Vet 45,5
62,00:17:17,394,Lewis,Rooney,00:17:14,62,,61,Male,61,Senior (20-34),29
63,00:17:19,189,Ben,Newall,00:17:15,63,West Cheshire Athletic Club,3,Male,62,Under 20,6
64,00:17:21,174,Gabriel,Pearse,00:17:20,66,Wallasey Athletic Club,3,Male,63,Under 20,7
65,00:17:23,259,Daniel,Pickard,00:17:19,65,Chester Road Runners,2,Male,64,Vet 35,12
66,00:17:25,470,Tom,Moseley,00:17:16,64,Altrincham & District Athletic Club Limited,5,Male,65,Vet 40,9
67,00:17:26,481,Peter,Boyd,00:17:23,68,Liverpool Harriers & AC,1,Male,66,Senior (20-34),30
68,00:17:26,102,Callum,Carson,00:17:23,67,Ellesmere Port RC,1,Male,67,Senior (20-34),31
69,00:17:27,214,Carl,Aveyard,00:17:24,69,,68,Male,68,Vet 45,6
70,00:17:28,136,Matthew,Gaskin,00:17:26,72,GOG Triathlon Club,1,Male,69,Vet 35,13
71,00:17:28,443,Adam,Gordon,00:17:24,70,Helsby Running Club,6,Male,70,Vet 50,4
72,00:17:29,206,Martha,Owen,00:17:24,71,Deeside AAC,1,Female,2,Senior (20-34),1
73,00:17:29,283,Gerard,Coleman,00:17:27,73,Buckley RC,6,Male,71,Senior (20-34),32
74,00:17:31,179,Dazza,Moore,00:17:28,75,Southport Waterloo AC,3,Male,72,Senior (20-34),33
75,00:17:32,398,David,Hinde,00:17:28,74,Chester Triathlon Club,2,Male,73,Vet 45,7
76,00:17:33,118,Simon,Lumsden,00:17:29,77,Vale Royal AC,3,Male,74,Vet 40,10
77,00:17:34,421,Ben,Rowlands,00:17:29,76,Deestriders B S RC,1,Male,75,Senior (20-34),34
78,00:17:35,227,Katherine,Fitzpatrick,00:17:31,78,Chorlton Runners,3,Female,3,Vet 35,1
79,00:17:38,378,Jonathan,Willitts,00:17:33,79,Wigan & District H & AC,2,Male,76,Vet 40,11
